Country,Year,Cost of a healthy diet (PPP dollar per person per day),Crude Birth Rates,Food Price Inflation,Global Peace Index,Global Terrorism Index,Happiness Index,Human Development Index,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Poverty Headcount,Agriculture Gross Production Index,Meat Gross Production Index,Employment,World Population
Hungary,2021,3.418,9.7,5.514521,1.437,0.0,5.992,0.846,134.01,49.81,65.19,51.64,42.75,11.6,35.81,47.81,79.48,12.1,91.93,107.73,1398.3,9709786
Indonesia,2021,4.729,16.425,3.007519,1.735,5.492,5.345,0.705,90.1,20.89,53.77,60.49,37.44,22.01,43.4,67.08,68.48,10.1,118.22,140.54,59354.53,273753191
Ireland,2021,2.15,11.6,0.949373,1.295,0.508,7.085,0.945,150.89,73.84,54.98,52.78,83.11,7.4,37.7,33.59,89.13,14.0,117.73,107.39,1006.95,4986526
Italy,2021,3.168,6.8,1.515152,1.65,3.681,6.483,0.895,138.63,58.7,55.63,66.77,73.11,9.52,34.17,53.93,91.48,20.1,99.51,100.19,3702.82,59240329
Latvia,2021,3.254,9.2,5.614629,1.637,0.0,6.032,0.863,147.59,45.94,62.79,62.18,52.87,8.48,31.16,33.91,74.7,22.5,101.44,103.89,279.91,1873919
Lithuania,2021,3.108,8.3,7.56959,1.649,0.826,6.255,0.875,160.02,54.6,66.16,70.97,47.66,10.97,25.67,27.01,69.86,20.9,96.15,95.22,526.37,2786651
Peru,2021,3.334,17.622,8.770239,2.022,4.464,5.84,0.762,83.3,28.81,33.39,56.38,36.26,16.88,48.81,82.69,97.69,25.9,122.98,120.27,4296.25,33715471
Philippines,2021,4.364,21.813,3.933434,2.34,6.786,5.88,0.699,78.39,19.71,57.84,67.09,40.65,30.14,44.04,74.06,61.03,18.1,100.24,81.12,20113.41,113880328
Poland,2021,3.155,8.8,6.507339,1.505,0.0,6.166,0.876,132.65,47.09,70.68,58.25,42.04,14.03,31.34,54.33,75.9,12.2,110.9,115.47,5948.59,38307726
Portugal,2021,2.651,7.7,1.361801,1.336,0.0,5.929,0.866,161.91,44.96,70.11,71.93,52.88,12.65,29.64,29.57,97.72,16.4,127.23,112.87,1120.41,10290103
Romania,2021,3.253,9.3,6.108335,1.559,1.058,6.14,0.821,131.71,45.19,71.65,56.09,38.5,10.66,34.13,58.42,77.69,21.2,105.99,83.7,2633.3,19328560
Slovenia,2021,3.038,9.0,1.138019,1.298,0.0,6.461,0.918,168.2,56.14,78.21,65.28,59.38,10.89,26.79,22.65,77.56,12.1,97.35,109.66,440.54,2119410
Spain,2021,2.879,7.1,3.253864,1.627,2.857,6.491,0.905,164.48,62.68,66.87,78.8,59.09,9.59,29.38,39.62,93.18,20.4,116.56,124.14,2482.95,47486935
Sweden,2021,3.279,11.0,1.025423,1.521,1.605,7.363,0.947,171.4,90.55,52.8,68.8,79.17,8.56,29.89,18.44,74.92,16.0,96.41,104.5,1371.7,10467097
Thailand,2021,4.463,8.999,0.432032,2.154,5.727,5.985,0.8,100.29,31.36,60.62,78.08,49.32,22.16,39.19,75.39,69.45,6.3,100.12,102.49,20529.13,71601103
